zipcode,percentage_asian,percentage_black,percentage_two_or_more,percentage_white,percentage_other
62087,0.0,0.002178649237472767,0.00392156862745098,0.9934640522875817,0.0
62086,0.011658031088082901,0.0,0.010362694300518135,0.9773316062176166,0.0
62081,0.0,0.0,0.0056179775280898875,0.9915730337078652,0.0
62080,0.0,0.0,0.011284046692607004,0.985603112840467,0.0
62083,0.0,0.0,0.0,0.9963235294117647,0.0
62082,0.001697792869269949,0.03870967741935484,0.007470288624787776,0.9422750424448217,0.004414261460101867
44427,0.0,0.0,0.0,0.9728978457261988,0.02640722724113968
40964,0.0,0.0,0.0,0.9953051643192489,0.0
40965,0.011650768222529672,0.04004951576494575,0.019879123279691255,0.9241971892521663,7.281730139081045e-05
40962,0.000591016548463357,0.05303030303030303,0.006823554695895122,0.9267139479905437,0.007253384912959381
44420,0.012430849332899447,0.04907256752359258,0.02753010087862024,0.9095997396680768,0.0
44429,0.0,0.0,0.01483560545308741,0.9667201283079391,0.0028067361668003207
44428,0.012426648256817397,0.006213324128408699,0.019330341732827064,0.9616845012081463,0.0
23509,0.015052920423363387,0.5148569188553509,0.03684829478635829,0.4163857310858487,0.012465699725597804
23508,0.04297954671088999,0.33701861065045147,0.03256863829003132,0.5717707757508752,0.013911921872120878
23507,0.0479151426481346,0.08546695927822483,0.03023652767617654,0.8246769080712022,0.008778346744696415
23505,0.04542711013691667,0.3304107500238254,0.04028082213539185,0.5395342927030718,0.0333555703802535
23504,0.009169987573381326,0.8457813772121524,0.029781034408878606,0.10502635300167117,0.004842096242019111
23503,0.03063451047947172,0.24527706000574218,0.03893195521102498,0.6511627906976745,0.020757967269595178
23502,0.03811434302908726,0.5273547916476703,0.04828120725813805,0.3544725084343941,0.02958876629889669
40328,0.0,0.002070393374741201,0.0,0.9968944099378882,0.0
27617,0.07420539445358997,0.18602000759782195,0.024313030264657465,0.6955806002279347,0.01981765227301507
27616,0.06387340636812096,0.37081171119226086,0.04330834774809405,0.4744271467315865,0.044653725414824784
27615,0.027893104271057026,0.12214268670961584,0.012741589119541876,0.8039608685277977,0.025721784776902887
27614,0.043606755126658625,0.08305186972255729,0.02445717732207479,0.8339867310012062,0.012605548854041013
27613,0.04487670738854078,0.13000946670874092,0.0192489744398864,0.774061218049858,0.029729973403056394
27612,0.03939117546459925,0.15246266104207046,0.02160529016075704,0.7684129517728879,0.01556264964086193
27610,0.024246506145815794,0.6565639557725768,0.011014761183139698,0.27281528876915306,0.03169725543020711
59038,0.0,0.0,0.04608294930875576,0.9139784946236559,0.030721966205837174
59039,0.0,0.0,0.0,0.972972972972973,0.0
59032,0.0,0.0,0.013774104683195593,0.9834710743801653,0.0
59033,0.0,0.021739130434782608,0.17391304347826086,0.8012422360248447,0.0
59030,0.0042997542997543,0.0,0.009828009828009828,0.9662162162162162,0.007371007371007371
59031,0.0,0.0,0.023809523809523808,0.02619047619047619,0.0
59036,0.0,0.0,0.005128205128205128,0.9831501831501831,0.0029304029304029304
59037,0.009417304296645085,0.0,0.02766333137139494,0.9399646851088875,0.0
59034,0.005896015722708594,0.0,0.03626943005181347,0.5770948722529927,0.009469358584956226
59035,0.0,0.0,0.0,0.27419354838709675,0.0
62075,0.003997539975399754,0.0024600246002460025,0.0024600246002460025,0.988929889298893,0.0018450184501845018
45051,0.0,0.056179775280898875,0.0,0.8539325842696629,0.0
12833,0.01799610894941634,0.01799610894941634,0.0311284046692607,0.932636186770428,0.0
12832,0.005735849056603773,0.007547169811320755,0.009509433962264151,0.9741886792452831,0.001358490566037736
12831,0.013397672438262844,0.03167754754470622,0.008515469770082317,0.9390860062446779,0.006812375816065853
12837,0.0,0.015488867376573089,0.005808325266214908,0.9767666989351403,0.000968054211035818
12836,0.014903129657228018,0.0,0.011922503725782414,0.9716840536512668,0.0
12835,0.0,0.0038232795242141037,0.008496176720475786,0.9817332200509771,0.002548853016142736
12834,0.01265214606021781,0.002402306213965407,0.005124919923126201,0.9759769378603459,0.00016015374759769378
23129,0.0,0.05373134328358209,0.0626865671641791,0.8805970149253731,0.0
12839,0.0003627130939426913,0.010155966630395358,0.010301051867972434,0.9596663039535728,0.01465360899528473
12838,0.0,0.0,0.0049833887043189366,0.9933554817275747,0.0
8540,0.2889174137181425,0.03776319330862715,0.024202397465890976,0.6288482640110971,0.018529637067555536
8542,0.09090909090909091,0.12613372706180132,0.016452225268930604,0.730014764817549,0.03627926597764185
92262,0.034726904922454484,0.06720611373342324,0.04060837641417547,0.7538023525885967,0.09256761819135387
92260,0.04209276844411979,0.014396152909666423,0.022705137570002434,0.845781592403214,0.06994156318480643
92266,0.0,0.0,0.0,0.9841269841269841,0.0
92267,0.0,0.0,0.0,0.0,0.0
92264,0.06297139964565933,0.019438116932422173,0.02105796001012402,0.8564414072386738,0.031181979245760567
92268,0.0,0.0016501650165016502,0.0,0.9867986798679867,0.009900990099009901
66506,0.04763179020604763,0.05485683703505485,0.018464008563018466,0.8664704308268665,0.005351886540005352
66507,0.0,0.0026338893766461808,0.038630377524143986,0.9552238805970149,0.0
66501,0.0,0.0,0.07033639143730887,0.9143730886850153,0.009174311926605505
66502,0.055256359735540085,0.05794912211567932,0.03323262839879154,0.839091028503875,0.00626121984325058
66503,0.03793403358533485,0.041346089516290895,0.05680069579179769,0.8509399879574496,0.008429785241185522
66508,0.007743110908676839,0.007287633796401731,0.009109542245502164,0.9701662491459804,0.005465725347301298
66509,0.003679175864606328,0.0051508462104488595,0.052980132450331126,0.6843267108167771,0.0
60901,0.006434830230010953,0.28529572836801753,0.022864184008762323,0.6478368017524644,0.03491237677984666
26568,0.057245080500894455,0.0,0.03935599284436494,0.9016100178890877,0.0
26562,0.0,0.0,0.0,0.9980732177263969,0.0
26563,0.0,0.0,0.0,0.9964912280701754,0.0
26560,0.0,0.38064516129032255,0.0,0.6129032258064516,0.0
